Category,image1_index,image2_index,Noise,SNR,Resolution,Wasserstein Original,Wasserstein Noised,Wasserstein Ratio,Wasserstein Time,Fourier Original,Fourier Noised,Fourier Ratio,Fourier Time,L2 Original,L2 Noised,L2 Ratio,L2 Time
CauchyDensity,01,02,1e-05,99999.99999999999,32,3.85597850768735,3.848029849447061,1.002065643602383,0.07556066513061524,2.3234400541511646,2.323566492327285,0.9999455844381738,0.0013125419616699218,0.06404417932594936,0.06405719814138008,0.9997967626463775,0.0
CauchyDensity,01,03,1e-05,99999.99999999999,32,6.693772467983513,6.684960451932179,1.0013181852181021,0.07492928504943848,3.6614556083375396,3.6619312357813696,0.9998701156812606,0.0010048389434814454,0.06745867166968546,0.06747851337485249,0.9997059552118939,0.0
CauchyDensity,01,04,1e-05,99999.99999999999,32,3.9583661471910023,3.954022542144192,1.0010985281445701,0.08237433433532715,2.2629397573267185,2.2636499411112996,0.9996862660733521,0.0012043476104736327,0.05660255376293487,0.056616748346921986,0.999749286484979,0.0
CauchyDensity,01,05,1e-05,99999.99999999999,32,13.191541672532496,13.168308126212029,1.00176435318021,0.07668805122375488,5.983522568544517,5.982332357220381,1.0001989543965573,0.0015174388885498048,0.0847619745166184,0.08475695173791446,1.0000592609644514,0.00019488334655761718
CauchyDensity,01,06,1e-05,99999.99999999999,32,12.647033752854119,12.629125112813258,1.0014180428082617,0.08163485527038575,5.367941741557863,5.368018804591726,0.9999856440454723,0.0012978076934814452,0.07968084593076377,0.07968750307530177,0.9999164593658844,0.0
CauchyDensity,01,07,1e-05,99999.99999999999,32,7.313747370206005,7.300423716678168,1.0018250520853191,0.0821458339691162,3.178905448318662,3.17891443099486,0.9999971742944351,0.0014522552490234375,0.06700323016727106,0.06700989888168443,0.9999004816523429,0.0
CauchyDensity,01,08,1e-05,99999.99999999999,32,6.055209979860861,6.045292467041721,1.001640534824942,0.07972016334533691,3.197659443713208,3.1976214008203625,1.000011897247384,0.0011084556579589843,0.06590136046178183,0.06590082427586089,1.0000081362551505,0.0
CauchyDensity,01,09,1e-05,99999.99999999999,32,4.530320813389161,4.5241577462461855,1.0013622573501308,0.07890596389770507,2.7863977907456534,2.786845489923489,0.9998393527091997,0.001443958282470703,0.06348442502333125,0.06349618254903507,0.9998148309830321,0.0
CauchyDensity,01,10,1e-05,99999.99999999999,32,13.157356706980474,13.133437102483947,1.0018212752922084,0.08018794059753417,5.498380079773833,5.497783575792202,1.0001084989929865,0.0011990070343017578,0.08028388518022536,0.08027173238532531,1.000151395697326,0.0002013683319091797
CauchyDensity,02,03,1e-05,99999.99999999999,32,4.755589290716013,4.754739259823117,1.0001787755009153,0.08993992805480958,2.1472069372103646,2.147451930285114,0.9998859145244211,0.0010882854461669923,0.038486592102315385,0.038489001954280434,0.9999373885566606,0.0
CauchyDensity,02,04,1e-05,99999.99999999999,32,2.9044963655316134,2.904909183251976,0.9998578896294787,0.08419313430786132,0.9912345266725817,0.9911725316657997,1.000062547139677,0.001317310333251953,0.03318215615763746,0.03319167488119343,0.999713219547069,0.00020198822021484376
CauchyDensity,02,05,1e-05,99999.99999999999,32,12.493191436248866,12.491259927194346,1.0001546288417484,0.09456329345703125,4.349934166183094,4.3507564419059745,0.9998110039635958,0.0012003421783447266,0.06288954238714292,0.06290576906907533,0.9997420477935086,0.0
CauchyDensity,02,06,1e-05,99999.99999999999,32,10.987085581654966,10.982563378315369,1.0004117620981388,0.09230923652648926,3.5710996026636264,3.5710007545178954,1.0000276807966522,0.0014179229736328125,0.05300967616983977,0.053012249764725274,0.9999514528265274,0.0
CauchyDensity,02,07,1e-05,99999.99999999999,32,4.841251781082099,4.838465554127831,1.0005758492900485,0.0943974494934082,1.3512120326044121,1.3510502872418058,1.000119718240049,0.001338052749633789,0.037529623457443505,0.03753355439038729,0.9998952688332445,0.0
CauchyDensity,02,08,1e-05,99999.99999999999,32,3.955563795264325,3.9542199229773614,1.0003398577502367,0.1000030517578125,1.1590490766044845,1.1592050772522766,0.9998654244612507,0.001509857177734375,0.03480384345739053,0.03480785016562946,0.9998848906720792,0.0
CauchyDensity,02,09,1e-05,99999.99999999999,32,4.80011421354378,4.799467736772135,1.0001346975971297,0.08610801696777344,1.3589432050478067,1.3594969662969831,0.9995926719493279,0.001117563247680664,0.03773602605989734,0.03773637024647842,0.9999908791815739,0.0
CauchyDensity,02,10,1e-05,99999.99999999999,32,11.508235820113962,11.501782524709505,1.000561069155202,0.08892936706542968,3.7614318313701487,3.7610828324818257,1.0000927921303164,0.0016218662261962891,0.0534083831693969,0.0534056259154982,1.000051628528857,0.0
CauchyDensity,03,04,1e-05,99999.99999999999,32,3.578207989362104,3.580361402329192,0.9993985487147506,0.09064245223999023,1.6000459439786945,1.6002385819381881,0.9998796192257405,0.001604604721069336,0.02513135922011104,0.02513558171338683,0.9998320113167088,0.0
CauchyDensity,03,05,1e-05,99999.99999999999,32,8.4079355840253,8.405570210880313,1.000281405435401,0.0982668399810791,3.497983734271409,3.4972797073839024,1.0002013070004152,0.0013331890106201172,0.04855285347562155,0.048542331834904154,1.0002167518600709,0.0
CauchyDensity,03,06,1e-05,99999.99999999999,32,6.685603166533704,6.686695752704159,0.9998366029783824,0.09026408195495605,2.649904418383409,2.650581229882616,0.9997446554395026,0.001318502426147461,0.036629020158886506,0.0366407942865907,0.9996786606858983,0.0
CauchyDensity,03,07,1e-05,99999.99999999999,32,3.832632004770251,3.832321240524453,1.0000810903435005,0.08704290390014649,1.7473874668648177,1.747415993788516,0.9999836747953551,0.0019989490509033205,0.030557560355680465,0.03055538749196373,1.0000711122945931,0.0
CauchyDensity,03,08,1e-05,99999.99999999999,32,3.2509935139137958,3.2487049016953797,1.000704469100047,0.07869324684143067,1.6708756558541171,1.6703877581707034,1.0002920864817328,0.0015232086181640625,0.02719852794504559,0.02719207512940188,1.0002373050093825,0.0
CauchyDensity,03,09,1e-05,99999.99999999999,32,7.026611752822554,7.028933905549669,0.9996696294547197,0.08868141174316406,2.5448779931473604,2.545959163960208,0.9995753385096854,0.0016240596771240235,0.03571069390715271,0.03573279430683512,0.9993815093358601,0.0
CauchyDensity,03,10,1e-05,99999.99999999999,32,6.902570337774578,6.900555644098164,1.0002919610797048,0.08445415496826172,2.69526580385011,2.6947560916606172,1.00018914965665,0.0014777183532714844,0.03544895196093497,0.035446256672564125,1.0000760387308523,0.0
CauchyDensity,04,05,1e-05,99999.99999999999,32,10.942000290153024,10.941131707953293,1.000079386869925,0.14255380630493164,4.338140601678552,4.338268788888711,0.9999704519898612,0.0015140056610107421,0.04969982298044593,0.049703992167179266,0.9999161196807027,0.00020041465759277344
CauchyDensity,04,06,1e-05,99999.99999999999,32,9.19419440937291,9.194632922202619,0.9999523077393716,0.09319777488708496,3.584767710924155,3.5851774467590465,0.9998857139316042,0.0012290000915527344,0.040394760625536805,0.04040445405794294,0.9997600900041308,0.0
CauchyDensity,04,07,1e-05,99999.99999999999,32,3.7087342625966317,3.7092201490768075,0.9998690057584485,0.09239606857299805,1.3990349116424676,1.399319162703138,0.9997968647409063,0.0018508434295654297,0.02008897352960519,0.020102698127098348,0.9993172758499189,0.0
CauchyDensity,04,08,1e-05,99999.99999999999,32,2.332217040155842,2.331380217214343,1.0003589388531824,0.08888592720031738,1.354530710068462,1.3537238416713966,1.000596036187166,0.0022008419036865234,0.01791493972638367,0.01790794775524353,1.0003904395543086,0.0
CauchyDensity,04,09,1e-05,99999.99999999999,32,4.186314022487144,4.189165413530256,0.9993193415008386,0.08024921417236328,1.71535513441001,1.7157312612968547,0.9997807775055865,0.001361083984375,0.023086843257407133,0.02308942035288617,0.9998883863068171,0.0
CauchyDensity,04,10,1e-05,99999.99999999999,32,9.931795629011257,9.927809365793772,1.0004015249558698,0.08589215278625488,3.7100924455717763,3.7094194290931277,1.0001814344512703,0.001817035675048828,0.041498020516689584,0.041495041189287526,1.0000717996010287,0.0
CauchyDensity,05,06,1e-05,99999.99999999999,32,5.917077539502881,5.917262978233982,0.9999686614010933,0.09251298904418945,2.1402154181791966,2.1402150885892794,1.0000001539985017,0.0019138813018798827,0.026454796145625487,0.026461598347819432,0.9997429406151308,0.0
CauchyDensity,05,07,1e-05,99999.99999999999,32,11.694815730001588,11.688756341129997,1.0005183946601974,0.09469494819641114,3.896240571404284,3.8945431773460655,1.0004358390653085,0.0017507076263427734,0.04691733726652071,0.0469006191203427,1.000356458965608,0.00010304450988769531
